1k,10k,50k,100k,200k

4910,4727,9288,12177,16869
2412,2861,7158,9030,16130
2441,2771,6759,9581,16046
2309,2677,7036,11744,21024
2896,3733,9038,12443,20551
2568,2881,11495,11352,19145
3475,4561,11714,11640,21116
2639,3246,8068,9721,18714
2371,3765,7230,10757,15593
3037,3623,8600,11416,19718
2676,3767,7327,10634,16871
2677,2923,7554,9701,20243
2636,3480,7533,10700,21800
2355,2970,7342,10042,17372
3232,3213,7429,10580,15786
2349,3416,7342,10682,17886
2442,2974,6823,9959,15773
2332,2964,7817,9700,16667
2464,3388,6760,9690,16524
2587,3416,8163,10355,18717
2257,3661,6849,10051,17189
2517,3044,7635,15035,17684
2847,3437,7599,9475,21998
2666,3004,7937,10473,16316
2214,3416,7066,10896,18856
2682,3724,6951,10805,17693
2367,2883,8389,12178,17937
2356,3455,7942,10366,18463
2663,3035,6996,9638,21324
2257,3057,7104,10660,18087
2765,2913,8446,9840,16733
2535,2929,7044,10354,16941
2523,3087,7481,10147,17774
2322,3316,7228,10219,18444
2179,3453,6878,9797,17638
2372,3118,7491,10148,19325
2173,2970,13491,9595,16902
2988,3261,7508,10125,19791
2818,3436,7113,9726,18767
2292,3398,8825,10010,18731
2746,3099,7343,11130,18411
2489,3385,7020,9414,16801
2202,2967,7770,10034,15335
4376,3659,7510,9338,16783
2945,5601,7043,10620,19050
2149,2523,5997,9885,17170
2906,3125,6961,9898,17176
2533,2939,6440,10714,16946
2513,3000,7550,10354,17499
2359,2829,7799,10373,16977
2390,3303,6964,9959,16551
2617,3155,7560,12873,17057
2982,3738,8170,10679,22177
3943,3351,7161,13033,19578
2555,3367,8122,11081,19801
3494,4894,14271,20144,29323
3806,4595,10805,15576,28398
8283,5413,12248,17874,27135
3253,4814,11203,18930,30270
5120,7124,12186,15912,27973
5277,5995,12578,16850,37241
5734,13709,65016,24633,55431
5596,6130,20013,29523,47174
5731,6033,19384,23989,35767
4518,5783,15517,18894,38910
6285,6411,12817,16974,30113
3231,5449,14998,15736,35917
5563,5071,13129,13662,21366
3063,5491,9580,14653,29582
3841,4446,11674,16131,28576
3200,3677,8381,12994,21134
3039,6695,9126,13064,23291
3012,3812,9515,11667,19785
3451,3615,7636,11544,18332
3377,3160,8277,10473,18499
2355,3283,6798,11638,20158
2919,3369,9041,12698,19071
2711,3559,6922,11464,18909
2236,3449,8496,9745,16658
3322,3431,7394,9670,15171
2378,2949,7284,12870,17889
2460,2875,7283,13394,18820
2817,3187,6824,9809,17837
2608,4058,6983,9485,18457
4318,4158,9594,10074,16731
