1k,10k,50k,100k,200k
3037,4296,7859,12883,24556
3437,3802,9389,12649,22111
2330,3039,6712,11605,20474
2825,3216,6609,12376,21217
2680,3464,7330,11848,19820
2930,3659,7376,12379,19119
2311,3616,7180,11418,18525
2700,3427,7335,18541,34676
2694,3980,6720,10922,19779
2166,2826,7926,10426,19097
2721,3853,7098,10622,20890
2509,3594,8006,11901,22510
2840,3995,7699,12256,18801
2485,3812,7805,10811,21346
2880,3797,7353,10927,21055
3080,3816,7112,12323,21073
3107,3568,7296,10911,18979
3048,3440,7794,10949,19182
2213,3777,7849,11769,18536
2608,3282,7210,11526,19720
2974,4484,8945,19564,26449
2887,3414,8401,14701,22876
2540,4598,7621,12198,19982
2219,3286,7293,11295,23246
2826,3447,8333,12404,22797
2877,4488,7929,12563,18829
2881,3887,7377,11617,21246
2398,3556,7397,14814,21593
3582,5858,9997,12932,20911
2563,3757,7973,11424,20911
3270,5245,7226,12117,21450
2945,4147,7178,14025,21074
2034,3374,6771,11170,20428
2415,3860,8078,10879,19554
2203,3792,7356,10709,20001
2727,3374,10189,11533,58032
3046,4140,7984,13727,23874
6616,8280,38982,17545,34888
4002,4821,49229,16152,32899
3013,4228,9969,16792,34609
3473,4790,10474,15502,24309
3642,5161,8773,14762,28531
3205,5226,10979,17609,37467
3032,4854,9008,14224,24694
2973,3720,8512,12678,25007
2468,3710,8004,11085,19290
2566,3278,6073,11287,20636
3423,3271,6289,11586,19116
2792,3931,8217,10925,20012
2393,3562,7259,12934,22081
2869,3400,8912,14233,22964
2611,4443,9816,13258,21502
2353,3439,8647,11076,20083
2947,3730,8001,12319,21326
2582,3838,7726,10661,30483
2657,3803,8000,13037,21562
2800,3148,8532,11904,19106
2415,3910,7417,11801,18826
2214,3408,6257,10432,23958
2448,4038,8864,13810,22031
2789,4045,8040,12203,24050
2687,4028,8495,12354,22854
2617,4051,6924,11903,21249
2220,4233,8142,10917,23023
2531,3711,6932,11024,18335
2455,3548,7158,10128,20319
2727,3955,8842,11507,19610
3021,3809,12143,13333,19568
2368,2979,6428,11613,26864
2629,4052,6803,11979,20490
2752,3956,7979,11109,18628
2344,3264,6616,10420,17666
3800,3998,11438,12689,20317
2505,4135,7302,11293,20050
3148,3305,6527,11925,22361
2858,4000,8355,14739,21462
2764,3892,8364,13643,19354
2349,3291,10517,13750,23242
2505,4661,10401,12308,24084
3422,4432,8361,13975,19538
2945,4252,9155,13092,22311
3035,3714,8154,12925,28421
2548,3360,7153,11328,20983
2200,3859,6477,10767,18887
2944,4536,7799,13502,26161
2895,3974,25569,15094,26564
3824,4358,8362,27888,27891
3189,3977,12091,14464,27821
3330,3969,7920,12865,21971
5028,5236,10040,13722,23982
3061,4179,8631,11735,22760
2632,3714,7399,12252,19029
2383,3426,11406,11136,18853
2519,3086,6722,10619,17607
2213,3040,6799,11098,20288
2557,3386,7747,9661,18284
2424,3083,7491,11384,26371
