1k,10k,50k,100k,200k
3874,3306,6769,8794,13923
4429,3203,5439,10752,14608
4529,3539,6034,9544,15482
3826,3606,6506,8212,13541
4258,4886,7362,12998,22208
4942,4362,6022,11309,25916
4434,4756,6594,13509,21071
5546,5554,9571,14490,22007
3025,3080,4864,8786,19282
3889,3456,7106,10063,15257
5303,3513,6185,7987,17053
4625,4648,6944,11273,16746
2900,2921,5148,10636,15445
8463,5311,6068,9669,20353
3232,2996,6961,9009,20434
3121,4994,6215,8412,16408
3426,2726,5483,10628,14421
3405,3064,6436,10184,16509
3889,3347,6411,10772,16555
4660,3681,6537,9524,17454
4546,3591,5955,12409,16711
4984,4576,5864,10762,20274
5675,5077,7685,13380,18457
6542,5471,9035,13090,21910
5538,5823,9395,12035,25499
5782,5791,9086,12956,22647
4553,5293,12789,14599,21557
3629,4675,7600,13259,23140
6815,3786,9824,72699,46576
14984,9364,16384,24630,61783
6620,11500,21714,37684,40558
6074,6665,12128,16381,31455
11273,7180,10905,14377,25348
6054,7276,13084,20462,29653
6042,6156,9554,13792,26792
6188,6906,11283,17605,32890
6641,6400,12175,16247,30991
6271,4972,9579,13399,25090
7115,6357,10503,15490,27951
7703,7151,10341,15880,28623
6229,8921,11801,17201,25821
6491,7052,9215,13750,28601
5375,6676,10207,18408,29214
6404,5613,11820,15141,24574
6094,4642,10513,12627,20533
5255,4486,7316,12695,20906
3878,3843,7792,11030,22759
4086,4443,7827,10271,19185
5394,4716,8538,11791,19590
4128,5644,6843,9419,16318
5807,4117,6474,12112,17352
4267,3710,6962,10091,17855
6351,4787,7170,12964,21367
4946,4285,7653,11031,22426
4070,5006,7062,11425,20046
4943,5946,8322,9581,17182
3866,3426,6117,8957,15925
4155,4622,7005,12214,15284
6705,5552,6379,8819,15383
3525,3145,5677,14797,15796
3473,3012,6677,9886,16181
4161,3408,6773,8745,15373
4073,3497,6200,9621,16655
6034,4814,7453,9657,16460
5536,4589,5781,9630,15388
3298,3065,6229,8845,16790
3926,3606,6234,8575,16079
4243,3451,6002,9772,17280
4816,4818,6964,10037,16222
5546,4274,5919,9581,17311
4902,4104,5818,11188,19259
4240,3994,6140,9880,17328
6479,4207,5833,9912,15468
4440,3560,6610,9499,20564
4709,3356,6145,10937,19204
3769,4086,8114,14204,18720
5326,3705,7028,10143,21415
3937,3765,6542,9571,16938
4114,3549,6375,9180,16390
3844,3598,6123,8750,15447
