1k,10k,50k,100k,200k
2186,4073,7706,11725,21269
6472,3432,7632,12344,21628
1845,3354,6267,11014,17126
2579,3572,8404,16047,21947
2519,3378,7843,15089,24082
2410,3219,7801,12942,23413
2678,4299,8526,14031,23096
2261,3409,6753,10804,20418
2798,5475,6985,11904,18588
2248,4219,8761,12984,22679
2442,3052,7126,12027,19776
2768,3247,6640,10933,20284
3469,3692,7389,11789,20231
2375,4362,7745,12348,22773
2533,3770,11584,14013,21695
2825,3720,7391,11571,29648
3049,4487,9337,14461,20135
2688,3585,7192,13499,23308
2545,3642,6950,12534,20547
3139,4654,9240,13477,21628
2299,3936,12841,14875,26137
3059,4653,9900,14409,23583
2799,3509,8537,11542,19454
2747,6076,8293,12930,21800
2717,4156,8298,13514,21356
2721,3988,8180,13446,21874
3030,4567,24497,39421,51435
2921,3822,8946,14401,24225
2714,3507,8927,12404,20896
2704,3476,8067,15530,19668
3254,4105,8603,15397,33524
3190,3836,8911,11887,24858
2225,3532,6961,10845,19835
2614,4647,7910,12601,21339
2991,4040,7959,18763,23857
3106,4628,7891,12523,22624
2353,2981,7272,11945,21561
2312,3068,7884,12039,23977
2298,4371,7808,12922,21092
10402,3538,11207,15789,31036
5541,5637,11454,17788,30493
2750,3916,9185,14806,24745
6679,4904,9738,14660,26326
2960,4524,9342,14207,25963
3394,6221,11794,15372,26405
2550,3275,8465,11789,22412
3132,4254,7454,12459,19973
3269,4457,9036,13561,21987
2748,4076,7626,10755,22269
2467,3535,8265,13566,25211
2993,4546,10264,14957,27448
12195,5464,10198,19329,29949
4059,8321,17896,18164,44893
6298,5839,15634,22445,33158
4527,5309,13692,17479,29775
3307,4339,10091,14507,27657
3195,5188,9830,15931,27795
2983,4276,9594,14222,23706
3296,4325,6958,12744,21529
2265,3577,7639,13001,21991
2195,3044,7157,19037,27065
2986,4131,9038,13383,26591
5976,5778,8209,13063,24490
2480,3557,8722,13845,21952
2778,6492,7196,13449,19845
3169,3471,7666,14145,20698
2341,5228,10515,45873,30694
2104,3830,8174,14194,24801
3303,4770,9105,15434,25089
2812,4369,8305,12643,25158
2432,3427,7662,10730,22302
2734,4260,7245,13217,18565
2520,3601,8835,11812,19801
2404,3632,7424,10988,21004
2420,3924,7145,11671,20942
2535,3867,7630,11470,21898
2589,3252,6192,9911,19756
2669,3833,7649,11603,21930
3244,4217,9215,12798,20954
3261,4308,9652,12931,22485
2702,3617,8230,11659,21962
2662,3094,6506,12001,20139
2851,3687,7992,11649,22118
