1k,10k,50k,100k,200k
6663,6283,12469,18410,35212
5470,5164,14489,31178,33278
4654,5209,15418,57534,74271
5725,5936,14213,26027,45699
5360,4908,16225,23445,38843
9181,7862,19461,28977,55816
7818,10537,28870,36815,64929
5726,8091,18633,29273,40830
7597,6547,15422,23613,39724
5316,6562,17102,23128,38521
7177,7273,16382,24295,41034
8728,9077,19895,32476,64827
7153,8220,19521,26185,49273
5304,6137,15745,22282,40310
7046,6546,16552,22820,38929
7163,6168,16629,24393,43466
6419,9402,23572,32224,49170
9159,9992,22084,33353,53204
7791,8229,18700,43775,48054
8531,7325,18434,24136,39040
7014,5925,15958,37340,37613
5063,6308,14894,24501,38616
7233,6497,19368,34851,57580
8757,9384,23062,27352,43990
6373,8209,19547,26931,59192
8199,11397,20641,34039,42074
6493,6534,15495,22498,34968
5981,6619,16329,23401,48390
7061,9592,18983,32802,39425
7402,9621,16061,22188,39767
5933,8048,31566,22570,35883
6527,6435,14468,22907,36124
5712,12042,15644,27992,39379
6992,6834,17567,21900,40048
7545,7146,18162,25402,45221
7426,8415,20537,23654,39004
7001,8616,16596,25302,37530
4861,7752,14557,20146,35517
6285,6407,13152,22498,35305
5902,6630,22193,26050,61565
7433,9183,19862,26954,42329
6762,6625,18104,27136,44330
5277,6496,17487,24549,39157
5434,6592,17288,23768,44365
4719,5488,15076,21884,36765
5328,6335,15058,21464,31894
7096,6754,14352,25918,52486
7708,9757,31764,38827,46431
6772,9695,20172,29671,47054
6433,7801,31393,26270,38108
6183,8493,17707,21273,44253
5917,7954,19141,22078,41074
7693,7997,18107,24055,37826
6355,7927,26894,65532,56295
6774,9403,18332,41865,42840
6786,6527,17720,25937,42347
6281,7665,16772,29579,38711
5981,8184,15424,25587,42738
6573,8157,17753,25966,39272
6334,8749,20722,31068,59632
6866,8331,18946,59809,57696
5445,10956,24287,24809,40978
5712,6693,18523,23280,41031
6422,7926,20361,24477,38479
5686,12280,15756,25819,42567
7127,10372,34296,31355,44375
7141,9782,45211,38981,42396
6472,7216,18446,24738,39995
5117,6990,16333,22870,35321
5135,5387,15146,19878,33601
5577,6521,31220,21172,39501
6623,7941,17542,24146,41658
6755,8117,27657,25443,46817
5215,6903,18576,27010,52846
5473,7108,18593,23617,41262
5150,6453,15132,28635,33867
5916,6323,16286,24261,36166
6238,8547,16505,21931,41557
6542,9002,22038,31178,47015
7317,9498,21208,32854,43060
7149,7907,14766,23893,40840
6536,7263,18334,29519,41492
5593,6926,15689,24864,38057
5875,7042,20346,23259,36912
6161,7980,21825,27420,44087
6568,8631,18454,25341,42743
5555,7172,15744,24551,38374
5407,6604,13899,22855,33801
4849,5769,46633,52922,43959
6693,6189,16345,21051,35047
6690,8175,15973,23605,37552
8370,7879,18654,28202,52401
8322,7266,16445,23896,41896
4824,6624,15950,23139,35651
6159,6274,13677,21640,33774
6132,6537,14067,20670,34947
7622,6869,15630,27494,36491
7317,6484,15459,21201,34821
6530,5930,14447,27474,35060
5641,6173,16657,22560,33212
5541,6532,13593,20344,38026
5287,6785,14071,20952,34143
5857,7345,14989,20913,33271
5465,6808,14675,19399,30454
6177,5921,14174,20249,34209
7190,7821,16501,22804,39830
6726,7616,21407,25906,41929
7161,6451,18696,26151,43443
5989,6900,15111,22504,35442
5581,5691,13725,21696,35619
4650,6781,14503,19928,32594
4995,4984,14016,18236,33118
4810,5196,14564,20593,32426
4818,6411,14588,24255,38549
6159,5970,14434,21352,31252
6556,5837,13750,19773,35899
6144,6332,14237,20086,34575
6371,7142,15579,19513,35081
6442,6884,14561,20414,37364
6708,5248,13358,19734,34034
5831,6728,13381,19304,34902
4805,6043,15835,23940,36155
6261,7207,17189,24177,38374
6191,7688,14509,19610,34063
5121,6412,15039,20521,32951
5200,6830,16421,20963,34319
5466,6234,13401,23763,33709
4945,7849,15189,20729,33185
4798,5243,14238,21641,37853
5157,7658,15070,22122,36956
5073,6890,15608,20997,43065
6111,5980,16174,23189,34129
5565,6322,14673,22681,35974
5695,6195,14366,19114,34394
5941,6410,13568,17921,37462
5911,7581,15133,22289,39356
6082,5812,13441,20213,31493
5714,6793,14301,20061,32068
5111,5921,13555,18523,36509
4916,6004,16415,21085,31790
5154,5841,13050,19713,31255
6675,6428,14487,21479,31632
5139,6089,13984,32513,31703
5614,5474,13528,20478,38059
5830,6172,17631,26788,35989
6337,7437,14946,20208,34455
4726,7059,16070,20137,32636
5040,5250,14297,20767,34000
8455,6651,15246,20513,31299
