1k,10k,50k,100k,200k
2385,3966,8734,15568,31643
2221,3448,8637,16198,28953
2541,4268,9621,14930,27308
2903,4403,9882,19276,48559
3173,4500,8382,22637,29024
2978,3356,9165,16187,27726
3154,3957,12680,26446,34249
2919,3630,10119,16301,32960
2789,4704,9270,18619,29593
2514,3470,8308,14635,27834
2581,3801,7296,13531,22689
2587,3347,7598,15095,25772
2063,3136,6712,15150,26596
2182,3354,8272,13556,26869
4319,3284,9713,14526,26276
3045,4065,9569,16132,30439
2198,3415,8543,15597,25346
3088,3900,8636,20642,28572
2235,3135,8203,14905,38666
2837,4129,10787,35708,39444
2484,3758,10010,32675,33469
4472,3657,9735,19240,30296
7363,3764,10239,15637,29008
2751,3994,9786,17995,34173
2834,3619,8291,18473,34242
2806,4128,9223,17685,30318
2912,4431,12988,16003,32283
2800,3986,9326,15930,30632
2582,3929,9152,16171,25793
2385,3354,9577,14809,31909
2676,3871,9364,15146,29755
2605,3678,8925,15619,26947
2596,3672,9404,16036,33806
3018,4051,9589,17278,36170
2608,3193,8709,13862,27018
2597,4149,9742,14910,27177
2875,4079,11220,16385,28655
2477,3363,8601,15958,29098
2900,4381,9251,17505,29837
2617,3262,8657,17583,31098
2841,4117,10395,16466,31037
2434,3477,8383,16487,29029
2654,3510,8419,16737,28764
2857,4220,10285,17021,28143
2530,4032,8479,19832,32517
2932,3939,10498,16039,26971
2553,3759,9154,16665,30245
2446,4156,10941,15113,33448
2410,3252,9146,16343,29670
3117,3546,7936,16114,29265
3158,4323,9929,16819,27398
2372,3329,8711,13922,27588
2210,3382,7655,14967,28206
2906,3996,9750,16327,28430
2666,3264,9416,18910,25964
2906,3600,8744,15988,33570
2704,3533,9089,17163,32576
2168,3258,7774,14218,26854
2135,3137,10156,14025,30739
2291,3324,9036,15212,31385
2731,3602,7927,16111,25052
2155,3261,8707,15319,28099
2719,3519,7929,14622,30755
3665,3542,8915,14674,26615
2862,3721,8395,15660,26582
2327,3398,8882,15885,28836
2665,3685,9013,15817,31359
2239,3314,8075,16141,28192
2428,3754,9297,14665,30991
2654,3337,7886,14524,27647
2780,3834,8199,16639,29066
2583,3864,7818,14605,30984
2423,3430,8279,14708,26787
2715,3640,8519,14635,29997
2724,3398,8460,17646,31981
3483,5316,12404,16998,28985
2611,3760,7860,16027,37366
4991,4851,12292,18951,39423
2481,4659,12454,18632,34169
3595,4099,12519,27821,177525
3204,7571,14417,42339,88095
5458,4454,12893,30418,59305
5995,5139,17595,24370,44640
2563,6205,12612,20877,39202
6176,4558,11980,21257,37245
3038,4595,11182,18650,36780
2639,4670,20979,28409,35511
3866,4958,10475,18755,36513
3067,7776,10350,20854,31707
4145,5185,12629,22526,38770
3398,4915,13118,24048,43093
5348,4987,47843,19601,32251
2500,4295,9773,22003,32043
2820,3990,9418,17183,26175
2545,3259,9310,13715,27817
6766,3032,7992,13455,27173
2894,3217,8882,16730,26958
2149,2952,7605,13882,26792
2781,3182,8824,14918,26653
2429,3131,7709,16170,64805
2441,3305,8804,16730,28953
2726,3781,8512,14359,39316
3351,4541,10022,17322,27588
2980,9471,8176,17250,37843
9792,4316,25156,46424,48859
2805,4018,9018,16362,28841
2039,3883,11327,15910,29211
2791,3639,8364,15160,29940
2618,3592,9219,18374,29212
3424,4377,8962,15207,31841
2848,4170,9782,15220,29526
2302,3662,9724,15645,28859
2995,3878,16009,33072,57956
4861,4276,10528,17356,30018
3706,4440,11652,18681,33542
2826,4478,11373,19534,38508
2403,4240,9753,20177,33535
3991,5102,9136,19253,36638
3629,4368,10793,19261,43621
3066,3805,10759,50415,68050
4982,4271,10900,44908,52213
3673,6885,16188,22380,61975
4116,4772,15134,23311,39174
3284,7887,14480,30504,81406
3259,4919,12626,23581,38148
3504,4306,12639,17595,42918
2698,8029,10652,24676,39751
3199,6847,12560,23107,34807
3003,3911,10109,17967,39833
3034,9201,11335,17415,29840
2467,4181,12871,19639,37805
3114,4160,10763,20370,39439
2869,4091,10412,15519,31860
3275,4394,10138,17039,26314
2041,3191,8952,17102,29141
2801,3533,9304,16187,27567
2457,3661,7773,15869,28271
2451,3906,8924,16171,28245
2721,3985,9232,15526,28984
2670,3586,8252,15575,27326
2594,3896,8952,14157,32358
3118,4275,12235,14182,31074
2361,3257,8525,15267,26518
2696,3785,8961,21748,44530
2617,3961,9333,18199,33992
3006,3635,8973,15230,31731
4931,3676,8087,15262,27382
3142,4062,8750,16773,31209
2845,3353,9120,17850,33300
3597,4327,14539,17556,33449
2449,3952,11668,19478,38035
3740,9509,10807,20022,40445
2593,3967,12654,19969,32762
2848,3979,10803,17401,30066
2849,4036,10416,15938,33254
2870,4369,9839,18725,30898
2848,3866,10405,14536,28184
2618,4948,8898,15986,28754
2648,3744,9314,18251,26907
2380,3578,8719,16007,29578
2205,3308,8255,14366,30345
3745,4080,10960,16104,27282
2363,3389,7897,16009,32383
3280,5714,10737,16045,28907
3166,4080,10344,20593,47314
8520,5201,16980,36037,44446
3093,7098,11004,18313,34285
3001,4478,8424,17728,41005
3347,18694,14625,24512,90064
8244,6160,21751,39510,61519
4069,5684,12302,23208,50660
